year,direction,family,state,tail,n,flagged,symbols,exchanges,loser_rejection,winner_sacrifice,selective_efficiency,TP1,TP1_rate,Loss,Full_Stop,Avg_R,Net
2024,LONG,volume_state,FLAT,LOSER,1,18,16,1,0.3870967741935484,0.46153846153846156,-0.07444168734491319,6,33.33333333333333,12,11,0.5471751297374742,95.35188280490624
2024,LONG,volume_state,FLAT,LOSER,3,17,15,1,0.3793103448275862,0.46153846153846156,-0.08222811671087538,6,35.294117647058826,11,10,0.648683920132948,107.54614668746252
2024,LONG,volume_state,FLAT,LOSER,5,16,14,1,0.37037037037037035,0.46153846153846156,-0.09116809116809121,6,37.5,10,9,0.7594221328594675,119.4608230446483
2024,LONG,volume_state,HEALTHY_BUILD,NONE,0,1,1,1,0.0,0.07692307692307693,-0.07692307692307693,1,100.0,0,0,4.632926663920932,47.486567987779374
2024,LONG,volume_state,HEALTHY_BUILD,WINNER,1,1,1,1,0.0,0.08333333333333333,-0.08333333333333333,1,100.0,0,0,4.632926663920932,47.486567987779374
2024,LONG,volume_state,HEALTHY_BUILD,WINNER,3,0,0,0,0.0,0.0,0.0,0,,0,0,,0.0
2024,LONG,volume_state,HEALTHY_BUILD,WINNER,5,0,0,0,0.0,0.0,0.0,0,,0,0,,0.0
2024,LONG,volume_state,HEALTHY_BUILD,LOSER,1,1,1,1,0.0,0.07692307692307693,-0.07692307692307693,1,100.0,0,0,4.632926663920932,47.486567987779374
2024,LONG,volume_state,HEALTHY_BUILD,LOSER,3,1,1,1,0.0,0.07692307692307693,-0.07692307692307693,1,100.0,0,0,4.632926663920932,47.486567987779374
2024,LONG,volume_state,HEALTHY_BUILD,LOSER,5,1,1,1,0.0,0.07692307692307693,-0.07692307692307693,1,100.0,0,0,4.632926663920932,47.486567987779374
2024,LONG,volume_state,SUDDEN_SPIKE_ONLY,NONE,0,25,24,1,0.59375,0.46153846153846156,0.13221153846153844,6,24.0,19,19,-0.24587985049363578,-65.36386939277773
2024,LONG,volume_state,SUDDEN_SPIKE_ONLY,WINNER,1,25,24,1,0.59375,0.5,0.09375,6,24.0,19,19,-0.24587985049363578,-65.36386939277773
2024,LONG,volume_state,SUDDEN_SPIKE_ONLY,WINNER,3,25,24,1,0.59375,0.6,-0.006249999999999978,6,24.0,19,19,-0.24587985049363578,-65.36386939277773
2024,LONG,volume_state,SUDDEN_SPIKE_ONLY,WINNER,5,24,23,1,0.59375,0.625,-0.03125,5,20.833333333333336,19,19,-0.4497890496823736,-112.15981962083629
2024,LONG,volume_state,SUDDEN_SPIKE_ONLY,LOSER,1,25,24,1,0.6129032258064516,0.46153846153846156,0.15136476426799006,6,24.0,19,19,-0.24587985049363578,-65.36386939277773
2024,LONG,volume_state,SUDDEN_SPIKE_ONLY,LOSER,3,24,23,1,0.6206896551724138,0.46153846153846156,0.15915119363395225,6,25.0,18,18,-0.20558277051640952,-53.43379769096742
2024,LONG,volume_state,SUDDEN_SPIKE_ONLY,LOSER,5,23,22,1,0.6296296296296297,0.46153846153846156,0.16809116809116809,6,26.08695652173913,17,17,-0.1683270208903161,-41.52822160054123
2024,LONG,quality,CLEAN_EXPANSION,NONE,0,25,22,1,0.5,0.6923076923076923,-0.1923076923076923,9,36.0,16,15,0.5773572762443497,140.3825947353192
2024,LONG,quality,CLEAN_EXPANSION,WINNER,1,24,21,1,0.5,0.6666666666666666,-0.16666666666666663,8,33.33333333333333,16,15,0.40642022998767874,92.21867373160327
2024,LONG,quality,CLEAN_EXPANSION,WINNER,3,23,20,1,0.5,0.7,-0.19999999999999996,7,30.434782608695656,16,15,0.22265908068623289,44.73210574382392
2024,LONG,quality,CLEAN_EXPANSION,WINNER,5,21,18,1,0.5,0.625,-0.125,5,23.809523809523807,16,15,-0.19622676049913737,-47.512168457222714
2024,LONG,quality,CLEAN_EXPANSION,LOSER,1,24,22,1,0.4838709677419355,0.6923076923076923,-0.2084367245657568,9,37.5,15,14,0.6513597114432211,152.82493504024103
2024,LONG,quality,CLEAN_EXPANSION,LOSER,3,23,21,1,0.4827586206896552,0.6923076923076923,-0.2095490716180371,9,39.130434782608695,14,13,0.732419254112364,164.7550067420513
2024,LONG,quality,CLEAN_EXPANSION,LOSER,5,23,21,1,0.5185185185185185,0.6923076923076923,-0.1737891737891738,9,39.130434782608695,14,13,0.732419254112364,164.7550067420513
2024,LONG,quality,WEAK_BREAK,NONE,0,20,20,1,0.5,0.3076923076923077,0.1923076923076923,4,20.0,16,16,-0.36487751688913667,-75.35035364033311
2024,LONG,quality,WEAK_BREAK,WINNER,1,20,20,1,0.5,0.3333333333333333,0.16666666666666669,4,20.0,16,16,-0.36487751688913667,-75.35035364033311
2024,LONG,quality,WEAK_BREAK,WINNER,3,19,19,1,0.5,0.3,0.2,3,15.789473684210526,16,16,-0.6280207830976472,-122.88266927834016
2024,LONG,quality,WEAK_BREAK,WINNER,5,19,19,1,0.5,0.375,0.125,3,15.789473684210526,16,16,-0.6280207830976472,-122.88266927834016
2024,LONG,quality,WEAK_BREAK,LOSER,1,20,20,1,0.5161290322580645,0.3076923076923077,0.2084367245657568,4,20.0,16,16,-0.36487751688913667,-75.35035364033311
2024,LONG,quality,WEAK_BREAK,LOSER,3,19,19,1,0.5172413793103449,0.3076923076923077,0.20954907161803715,4,21.052631578947366,15,15,-0.3220566331998502,-63.156089757776826
2024,LONG,quality,WEAK_BREAK,LOSER,5,17,17,1,0.48148148148148145,0.3076923076923077,0.17378917378917375,4,23.52941176470588,13,13,-0.2313813844346606,-39.33583731016489
2024,LONG,transition,HEALTHY_TRANSITION,NONE,0,1,1,1,0.0,0.07692307692307693,-0.07692307692307693,1,100.0,0,0,4.632926663920932,47.486567987779374
2024,LONG,transition,HEALTHY_TRANSITION,WINNER,1,1,1,1,0.0,0.08333333333333333,-0.08333333333333333,1,100.0,0,0,4.632926663920932,47.486567987779374
2024,LONG,transition,HEALTHY_TRANSITION,WINNER,3,0,0,0,0.0,0.0,0.0,0,,0,0,,0.0
2024,LONG,transition,HEALTHY_TRANSITION,WINNER,5,0,0,0,0.0,0.0,0.0,0,,0,0,,0.0
2024,LONG,transition,HEALTHY_TRANSITION,LOSER,1,1,1,1,0.0,0.07692307692307693,-0.07692307692307693,1,100.0,0,0,4.632926663920932,47.486567987779374
2024,LONG,transition,HEALTHY_TRANSITION,LOSER,3,1,1,1,0.0,0.07692307692307693,-0.07692307692307693,1,100.0,0,0,4.632926663920932,47.486567987779374
2024,LONG,transition,HEALTHY_TRANSITION,LOSER,5,1,1,1,0.0,0.07692307692307693,-0.07692307692307693,1,100.0,0,0,4.632926663920932,47.486567987779374
2024,LONG,transition,NO_BASE_BREAKOUT,NONE,0,2,2,1,0.0625,0.0,0.0625,0,0.0,2,2,-1.1340800771279995,-23.686375245941658
2024,LONG,transition,NO_BASE_BREAKOUT,WINNER,1,2,2,1,0.0625,0.0,0.0625,0,0.0,2,2,-1.1340800771279995,-23.686375245941658
2024,LONG,transition,NO_BASE_BREAKOUT,WINNER,3,2,2,1,0.0625,0.0,0.0625,0,0.0,2,2,-1.1340800771279995,-23.686375245941658
2024,LONG,transition,NO_BASE_BREAKOUT,WINNER,5,2,2,1,0.0625,0.0,0.0625,0,0.0,2,2,-1.1340800771279995,-23.686375245941658
2024,LONG,transition,NO_BASE_BREAKOUT,LOSER,1,2,2,1,0.06451612903225806,0.0,0.06451612903225806,0,0.0,2,2,-1.1340800771279995,-23.686375245941658
